cell_type_predicted,n_cells,mean_confidence
microglia,125671,0.96075994
macrophage,115204,0.95259863
t_cell,65491,1.4001076
ambiguous,61717,1.0009742
astrocyte,60820,1.1105777
neuron,39419,1.507325
ependymal,34597,1.6079398
oligodendrocyte,31836,2.0924852
opc,22532,1.3891488
neutrophil,21184,1.4077394
tumor_gbm,10270,1.0816389
nk_cell,9150,2.3921223
mural,5604,7.215273
dc,3398,2.322089
b_plasma,2733,9.600986
inhibitory_neuron,2457,1.790811
excitatory_neuron,2419,3.1419747
mast,449,28.105751
