source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
immune_t_cell,nerve_c14,HLA-A,APLP2,1.8339366,0.0,0.7810102,0.2138315983580198,0.302677370646556,0.0062066293,0.8908507,1.0,0.1020807050128957,immune,nerve,immune-nerve,immune_to_nerve,nerve_c14,t_cell,0.4198,6.0,0.3596,True,0.0821,23.0,0.7277,True,True
immune_microglia,nerve_c11,CALM1,INSR,1.1250775,0.0,1.2583618,0.7089577231366926,0.3809128000476052,0.008084302,0.9119716,0.5736711496208888,0.1021155911807537,immune,nerve,immune-nerve,immune_to_nerve,nerve_c11,microglia,0.1876,18.0,0.5976,True,0.0187,44.0,0.9088,True,True
immune_tam,nerve_c1,THBS1,PTPRJ,1.1250604,0.0,1.2643731,1.3360443674993825,1.716136678640375,0.04912029,0.9121627,0.0131397736381659,0.1021504959859569,immune,nerve,immune-nerve,immune_to_nerve,nerve_c1,tam,0.1983,17.0,0.5642,True,0.1165,25.0,0.7417,True,True
immune_microglia,nerve_c12,CCL5,SDC4,0.14141917,1.0,0.012908968,-0.098223176548876,-1.002227316896457,0.002235956,0.5120295,1.0,0.1021522907134591,immune,nerve,immune-nerve,immune_to_nerve,nerve_c12,microglia,0.8072,7.0,0.2013,False,0.0187,44.0,0.9088,True,False
immune_microglia,nerve_c15,APOE,LDLR,2.035729,0.0,0.74510306,0.6178778498132812,1.7505938833154713,0.030319275,0.8885414,0.0432774260187414,0.1021522907134591,immune,nerve,immune-nerve,immune_to_nerve,nerve_c15,microglia,0.9903,1.0,0.0149,False,0.0187,44.0,0.9088,True,False
immune_tam,nerve_c14,APOE,SCARB1,1.1249646,1.0,0.84858215,0.2546394989972014,0.2382789105559686,0.026203655,0.89482,1.0,0.1022202954986965,immune,nerve,immune-nerve,immune_to_nerve,nerve_c14,tam,0.4198,6.0,0.3596,True,0.1165,25.0,0.7417,True,True
immune_t_cell,nerve_c21,TIMP1,CD63,1.296854,0.271,0.77998585,-0.0052549325368221,-0.3966300562566839,0.004296479,0.8907869,1.0,0.1022552166148819,immune,nerve,immune-nerve,immune_to_nerve,nerve_c21,t_cell,0.8488,6.0,0.1222,False,0.0821,23.0,0.7277,True,False
immune_tam,nerve_c5,APOE,LRP2,1.1248797,1.0,0.8482815,0.672818739354458,0.3490072567549519,0.0060023563,0.8948034,1.0,0.1022552166148819,immune,nerve,immune-nerve,immune_to_nerve,nerve_c5,tam,0.226,19.0,0.6259,True,0.1165,25.0,0.7417,True,True
immune_microglia,nerve_c12,B2M,KLRD1,2.035363,0.0,0.2582712,0.1912743634228952,0.2198103217897312,0.012220855,0.8243601,0.3468410195260965,0.1023254842780713,immune,nerve,immune-nerve,immune_to_nerve,nerve_c12,microglia,0.8072,7.0,0.2013,False,0.0187,44.0,0.9088,True,False
immune_microglia,nerve_c13,C3,GRM7,1.1248432,0.0,0.8085332,1.047724345136145,2.0667092485399694,0.07100006,0.89252317,0.0163495750123025,0.102359972944585,immune,nerve,immune-nerve,immune_to_nerve,nerve_c13,microglia,0.9595,1.0,0.0572,False,0.0187,44.0,0.9088,True,False
