source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,direction,nerve_cluster,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
malignant,nerve_c20,NCAM1,FGFR2,1.418622,0.0,1.9195092,1.0915800564237754,0.8931082333994522,0.06635587,0.9180189,0.0933192788957081,0.0103081859800619,malignant_to_nerve,nerve_c20,0.3415,15,0.5197,True
nerve_c6,malignant,EDIL3,ITGAV,1.4555924,0.0,1.3146394,1.223435882330661,1.3826294236021486,0.05961496,0.90260196,0.0244410101264506,0.0105846982626398,nerve_to_malignant,nerve_c6,0.2107,18,0.6248,True
nerve_c13,malignant,VCAN,EGFR,1.4107535,0.0,1.9651003,0.3313225305352546,2.324662489020643,0.15981749,0.91889787,0.0196684719973873,0.0106311307553149,nerve_to_malignant,nerve_c13,0.9595,1,0.0572,False
nerve_c20,malignant,CALM3,EGFR,1.405527,0.0,1.9486966,0.5136927736861024,2.460698922601561,0.11688238,0.918585,0.0110671262929717,0.010724295378234,nerve_to_malignant,nerve_c20,0.3415,15,0.5197,True
malignant,nerve_c9,NCAM1,FGFR2,1.4034545,0.0,1.8857253,1.068342499837953,0.4791119711041586,0.06518799,0.9173482,0.1033249292335383,0.0108178541441193,malignant_to_nerve,nerve_c9,0.8791,5,0.1446,False
malignant,nerve_c3,CALM1,INSR,1.4006934,0.0,1.9551113,0.7328929479254049,0.7043882092764087,0.08493579,0.9187078,0.0196684719973873,0.0110061603323876,malignant_to_nerve,nerve_c3,0.3912,13,0.4608,True
nerve_neuron,malignant,IL1RAPL1,PTPRS,1.491978,0.0,1.3001146,0.6652553978841697,0.7128604183049485,0.052767925,0.90211254,0.2380947917709082,0.0110534844205968,nerve_to_malignant,nerve_neuron,0.4,10,0.5084,True
malignant,nerve_c6,PTN,PTPRS,1.4299805,0.0,1.2959538,0.0590788205575845,0.9258405292551528,0.0444976,0.9019709,0.6730011428795065,0.0113395070331539,malignant_to_nerve,nerve_c6,0.2107,18,0.6248,True
malignant,nerve_c19,NCAM1,FGFR2,1.3962325,0.0,1.8696388,1.0572782036731236,0.6783455683951185,0.064631894,0.9170228,0.1125839674744927,0.0113395070331539,malignant_to_nerve,nerve_c19,0.9467,4,0.054,False
malignant,nerve_c20,TIMP1,FGFR2,1.3934584,0.0,1.8327672,1.1738836906957733,2.208038342167575,0.06635587,0.9162619,0.015219478636049,0.0114356391613461,malignant_to_nerve,nerve_c20,0.3415,15,0.5197,True
nerve_neuron,malignant,IL1RAPL1,PTPRD,1.4902568,0.0,1.2916657,0.5885015645915455,-0.463140254338489,0.052767925,0.9018243,1.0,0.011629091868213,nerve_to_malignant,nerve_neuron,0.4,10,0.5084,True
malignant,nerve_c2,RTN4,NGFR,1.3902442,0.0,1.9322804,1.9211694092213645,0.5089548536166908,0.23319128,0.9182681,0.0147510598977276,0.011629091868213,malignant_to_nerve,nerve_c2,0.25,13,0.5666,True
nerve_c0,malignant,SPP1,ITGAV_ITGB1,1.9325728,0.0,1.2888044,0.900422772800316,0.9190385828586862,0.07181218,0.90172607,0.0551929196815982,0.0117752169695358,nerve_to_malignant,nerve_c0,0.4029,19,0.5772,True
