axis,tier_v2,agents_flagged,glioma_trials,withdrawn
CD44_CD74|MIF,2_clinical,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE | CD74: [clinical] MILATUZUMAB | MIF: [clinical] IGURATIMOD; IMALUMAB,,
CD44|COL4A5,2_clinical,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE,,
CD44|LAMA2,2_clinical,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE,,
CD44|PKM,2_clinical,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE,,
CD44|PSEN1,2_clinical,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE,,
CD44|SPP1,2_clinical,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE | SPP1: [clinical] ASK-8007,,
CD44|TIMP2,2_clinical,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE,,
CD44|VCAN,2_clinical,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE,,
CD44|VEGFA,1_approved_available,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE | VEGFA: AFLIBERCEPT; BEVACIZUMAB; BEVACIZUMAB GAMMA; BROLUCIZUMAB; FARICIMAB; PEGAPTANIB SODIUM; RANIBIZUMAB [black-box],,
CD44|VIM,2_clinical,CD44: [clinical] BIVATUZUMAB; BIVATUZUMAB MERTANSINE | VIM: [clinical] PRITUMUMAB,,
CD47|THBS1,2_clinical,CD47: [clinical] EVORPACEPT; MAGROLIMAB,,
CD63|TIMP1,3_chembl_target_no_agent,,,
CD68|S100A8,3_chembl_target_no_agent,,,
CD68|S100A9,3_chembl_target_no_agent,,,
CD69|LGALS1,2_clinical,LGALS1: [clinical] DAVANAT,,
CD74_CXCR4|MIF,1_approved_available,CD74: [clinical] MILATUZUMAB | CXCR4: MAVORIXAFOR; PLERIXAFOR | MIF: [clinical] IGURATIMOD; IMALUMAB,"plerixafor (4: NCT00669669, NCT03746080, NCT01339039)",
CD74|COPA,2_clinical,CD74: [clinical] MILATUZUMAB,,
CD81|CD99,3_chembl_target_no_agent,,,
CD8A|HLA-A,3_chembl_target_no_agent,,,
CD8A|HLA-C,3_chembl_target_no_agent,,,
CD8B|HLA-A,3_chembl_target_no_agent,,,
CD8B|HLA-C,3_chembl_target_no_agent,,,
CD93|COL4A5,4_no_chembl_target,,,
CD9|HBEGF,2_clinical,HBEGF: [clinical] KHK-2866,,
CD9|IL16,4_no_chembl_target,,,
CHRM3|GZMB,1_approved_available,CHRM3: ACETYLCHOLINE CHLORIDE; ACLIDINIUM BROMIDE; ANISOTROPINE METHYLBROMIDE; ATROPINE; ATROPINE SULFATE; BETHANECHOL CHLORIDE; CARBACHOL; CEVIMELINE HYDROCHLORIDE; CLIDINIUM BROMIDE; CYCLOPENTOLATE HYDROCHLORIDE; DARIFENACIN HYDROBROMIDE; DICYCLOMINE HYDROCHLORIDE; DIPHEMANIL METHYLSULFATE; FESOTERODINE FUMARATE; GLYCOPYRRONIUM BROMIDE; HEXOCYCLIUM METHYLSULFATE; IPRATROPIUM BROMIDE; ISOPROPAMIDE IODIDE; MEPENZOLATE BROMIDE; METHACHOLINE CHLORIDE [black-box]; METHSCOPOLAMINE BROMIDE; OXYBUTYNIN; OXYBUTYNIN CHLORIDE; OXYPHENCYCLIMINE HYDROCHLORIDE; OXYPHENONIUM BROMIDE; PILOCARPINE; PILOCARPINE HYDROCHLORIDE; PROPANTHELINE BROMIDE; REVEFENACIN; SOLIFENACIN SUCCINATE; TIOTROPIUM BROMIDE; TOLTERODINE TARTRATE; TRIDIHEXETHYL CHLORIDE; TROPICAMIDE; TROSPIUM CHLORIDE; UMECLIDINIUM BROMIDE,,
CIRBP|TREM1,2_clinical,TREM1: [clinical] NANGIBOTIDE,,
CNTN1|NRCAM,3_chembl_target_no_agent,,,
CNTN1|PTPRZ1,3_chembl_target_no_agent,,,
CNTN2|NRCAM,4_no_chembl_target,,,
CXCL2|GRM7,3_chembl_target_no_agent,,,
CXCL8|GRM7,2_clinical,CXCL8: [clinical] ABX-IL8; ADAKITUG,,
CXCR4|HMGB1,1_approved_available,CXCR4: MAVORIXAFOR; PLERIXAFOR | HMGB1: [clinical] CD24FC,"plerixafor (4: NCT00669669, NCT03746080, NCT01339039)",
EDIL3|ITGAV,2_clinical,ITGAV: [clinical] IMGN-388,,
EGFR|GNAI2,1_approved_available,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box],"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",
EGFR|GRN,1_approved_available,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box],"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",
EGFR|GSTP1,1_approved_available,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box] | GSTP1: [clinical] EZATIOSTAT HYDROCHLORIDE,"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",
EGFR|MIF,1_approved_available,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box] | MIF: [clinical] IGURATIMOD; IMALUMAB,"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",
EGFR|NRG3,1_approved_available,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box],"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",
EGFR|S100A4,1_approved_available,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box],"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",
EGFR|VCAN,1_approved_available,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box],"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",
ERBB3|S100A4,2_clinical,ERBB3: [clinical] AMG-888; AV-203; CDX-3379; DULIGOTUZUMAB; ELGEMTUMAB; ISTIRATUMAB; LUMRETUZUMAB; PATRITUMAB; PATRITUMAB DERUXTECAN; SAPITINIB; SERIBANTUMAB,,
FGFR2|NCAM1,1_approved_available,FGFR2: PALIFERMIN; PEMIGATINIB; REGORAFENIB [black-box]; TRAFERMIN | NCAM1: [clinical] LORVOTUZUMAB MERTANSINE; ONCOLYSIN S,"pemigatinib (1: NCT05267106) | regorafenib (8: NCT06095375, NCT04704154, NCT04051606)",
FGFR2|TIMP1,1_approved_available,FGFR2: PALIFERMIN; PEMIGATINIB; REGORAFENIB [black-box]; TRAFERMIN,"pemigatinib (1: NCT05267106) | regorafenib (8: NCT06095375, NCT04704154, NCT04051606)",
FN1|MAG,1_approved_available,FN1: OCRIPLASMIN | MAG: [clinical] REFANEZUMAB,,
GNAI2|IGF1R,1_approved_available,IGF1R: MASOPROCOL; MECASERMIN; MECASERMIN RINFABATE; TEPROTUMUMAB,,
GPR37|PSAP,3_chembl_target_no_agent,,,
GRN|SORT1,3_chembl_target_no_agent,,,
GZMA|PARD3,3_chembl_target_no_agent,,,
HAVCR2|HMGB1,2_clinical,HAVCR2: [clinical] COBOLIMAB; LOMVASTOMIG; SABATOLIMAB | HMGB1: [clinical] CD24FC,,
HLA-A|LILRB2,3_chembl_target_no_agent,,,
HLA-C|LILRB2,3_chembl_target_no_agent,,,
HMGB1|THBD,2_clinical,HMGB1: [clinical] CD24FC,,
HMGB1|TLR2,2_clinical,HMGB1: [clinical] CD24FC | TLR2: [clinical] TOMARALIMAB; VB-201,,
HSPA8|LRP2,2_clinical,HSPA8: [clinical] FORIGERIMOD ACETATE,,
IGSF11|VSIR,3_chembl_target_no_agent,,,
IL18|IL1RAPL1,2_clinical,IL18: [clinical] CAMOTESKIMAB; GSK-1070806; TADEKINIG ALFA,,
IL1RAPL1|PTPRD,3_chembl_target_no_agent,,,
IL1RAPL1|PTPRF,3_chembl_target_no_agent,,,
IL1RAPL1|PTPRS,3_chembl_target_no_agent,,,
INSR|NAMPT,1_approved_available,"INSR: INSULIN ASPART; INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN [black-box]; INSULIN HUMAN ZINC; INSULIN HUMAN, ISOPHANE; INSULIN ICODEC; INSULIN LISPRO; INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE BEEF; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL; INSULIN, PROTAMINE ZINC | NAMPT: [clinical] DAPORINAD; TEGLARINAD CHLORIDE",,
ITGA4_ITGB1|SPP1,2_clinical,ITGA4: [clinical] UCB-1184197 | SPP1: [clinical] ASK-8007,,
ITGA5_ITGB1|SPP1,2_clinical,ITGA5: [clinical] PF-04605412 | SPP1: [clinical] ASK-8007,,
ITGA5|VEGFD,2_clinical,ITGA5: [clinical] PF-04605412,,
ITGA9_ITGB1|SPP1,2_clinical,SPP1: [clinical] ASK-8007,,
ITGAV_ITGB1|SPP1,2_clinical,ITGAV: [clinical] IMGN-388 | SPP1: [clinical] ASK-8007,,
ITGB1|LGALS1,2_clinical,LGALS1: [clinical] DAVANAT,,
ITGB1|LGALS3BP,3_chembl_target_no_agent,,,
ITGB1|VCAN,3_chembl_target_no_agent,,,
JAG1|NOTCH4,3_chembl_target_no_agent,,,
LAMA2|RPSA,3_chembl_target_no_agent,,,
LGALS1|PTPRC,2_clinical,LGALS1: [clinical] DAVANAT | PTPRC: [clinical] AHN-12; BC8 131I,,
LGALS9|PTPRK,3_chembl_target_no_agent,,,
LRP1B|PLAUR,3_chembl_target_no_agent,,,
LRP1|PSAP,2_clinical,LRP1: [clinical] ANG1005,,
MDK|PTPRZ1,3_chembl_target_no_agent,,,
NCAM1|NCAM2,2_clinical,NCAM1: [clinical] LORVOTUZUMAB MERTANSINE; ONCOLYSIN S,,
NCAM1|PTPRA,2_clinical,NCAM1: [clinical] LORVOTUZUMAB MERTANSINE; ONCOLYSIN S,,
NCAM1|PTPRZ1,2_clinical,NCAM1: [clinical] LORVOTUZUMAB MERTANSINE; ONCOLYSIN S,,
NCAM1|ROBO1,2_clinical,NCAM1: [clinical] LORVOTUZUMAB MERTANSINE; ONCOLYSIN S,,
NCL|PTN,3_chembl_target_no_agent,,,
NLGN1|NRXN1,4_no_chembl_target,,,
NLGN1|NRXN3,4_no_chembl_target,,,
NLGN4X|NRXN1,4_no_chembl_target,,,
NTRK3|PTPRD,1_approved_available,NTRK3: REPOTRECTINIB,repotrectinib (1: NCT04094610),
PSAP|SORT1,3_chembl_target_no_agent,,,
PTGER4|SPP1,2_clinical,PTGER4: [clinical] GRAPIPRANT; RIVENPROST; VORBIPIPRANT | SPP1: [clinical] ASK-8007,,
PTN|PTPRS,3_chembl_target_no_agent,,,
PTN|PTPRZ1,3_chembl_target_no_agent,,,
PTPRZ1|TNC,2_clinical,TNC: [clinical] 81C6 131I; F16IL2; F16SIP 131I; TENATUMOMAB,,
TF|TFRC,2_clinical,TFRC: [clinical] A27.15,,
TLR2|VCAN,2_clinical,TLR2: [clinical] TOMARALIMAB; VB-201,,
