nerve_leiden,cell_type_predicted,sample_id,n_cells
0,oligodendrocyte,C3N-01798,116
0,oligodendrocyte,C3N-01814,225
0,oligodendrocyte,C3N-01815,294
0,oligodendrocyte,C3N-01816,0
0,oligodendrocyte,C3N-02181,2
0,oligodendrocyte,C3N-02188,0
0,oligodendrocyte,C3N-02190,29
0,oligodendrocyte,C3N-02769,14
0,oligodendrocyte,C3N-02783,827
0,oligodendrocyte,C3N-02784,119
0,oligodendrocyte,C3N-03184,12
0,oligodendrocyte,C3N-03186,275
0,oligodendrocyte,C3N-03188,1001
0,oligodendrocyte,E10,0
0,oligodendrocyte,E100,0
0,oligodendrocyte,G523,50
0,oligodendrocyte,G549,286
0,oligodendrocyte,G566,0
0,oligodendrocyte,G583,10
0,oligodendrocyte,G620,0
0,oligodendrocyte,G637,0
0,oligodendrocyte,G729,104
0,oligodendrocyte,G799,12
0,oligodendrocyte,G837,43
0,oligodendrocyte,G851,0
0,oligodendrocyte,G910,26
0,oligodendrocyte,G945,0
0,oligodendrocyte,G946,5
0,oligodendrocyte,G967,8
0,oligodendrocyte,G983,27
0,oligodendrocyte,G1003,0
0,oligodendrocyte,GSM4141788,0
0,oligodendrocyte,GSM4141789,0
0,oligodendrocyte,GSM4141790,0
0,oligodendrocyte,JK125,0
0,oligodendrocyte,JK134,0
0,oligodendrocyte,JK136,0
0,oligodendrocyte,JK142,0
0,oligodendrocyte,JK153,0
0,oligodendrocyte,JK156,0
0,oligodendrocyte,JK163,0
0,oligodendrocyte,LB3018T,0
0,oligodendrocyte,LB3579T,0
0,oligodendrocyte,LB3612T,0
0,oligodendrocyte,LB3667T,16
0,oligodendrocyte,LB3771T,0
0,oligodendrocyte,LB3851T,0
0,oligodendrocyte,LB3853T,0
0,oligodendrocyte,LB3854T,0
0,oligodendrocyte,LB3864T,4
0,oligodendrocyte,LB3865T,0
0,oligodendrocyte,LB3869T,0
0,oligodendrocyte,LB3871T,0
0,oligodendrocyte,LB3872T,0
0,oligodendrocyte,LB3914T,0
0,oligodendrocyte,LB3915T,0
0,oligodendrocyte,LB3931T,0
0,oligodendrocyte,LB3944T,0
0,oligodendrocyte,LB3963T,0
0,oligodendrocyte,LB4003T,0
0,oligodendrocyte,LB4006T,0
0,oligodendrocyte,LB4015T,0
0,oligodendrocyte,LB4024T,0
0,oligodendrocyte,LB4034T,0
0,oligodendrocyte,LB4059T,0
0,oligodendrocyte,LB4075T,0
0,oligodendrocyte,LB4101T,0
0,oligodendrocyte,LB4117T,1
0,oligodendrocyte,LB4180T,0
0,oligodendrocyte,MGH102,0
0,oligodendrocyte,MGH105,0
0,oligodendrocyte,MGH114,0
0,oligodendrocyte,MGH115,0
0,oligodendrocyte,MGH118,0
0,oligodendrocyte,MGH124,1
0,oligodendrocyte,MGH125,0
0,oligodendrocyte,MGH126,0
0,oligodendrocyte,ND4,0
0,oligodendrocyte,P234_JAK,2
0,oligodendrocyte,P294,0
0,oligodendrocyte,P317,0
0,oligodendrocyte,P322,0
0,oligodendrocyte,Patient_2,0
0,oligodendrocyte,Patient_4,1
0,oligodendrocyte,R2,0
0,oligodendrocyte,R3,0
0,oligodendrocyte,R5,0
0,oligodendrocyte,SF4297,9
0,oligodendrocyte,SF6996,202
0,oligodendrocyte,SF9259R,714
0,oligodendrocyte,SF9259S,314
0,oligodendrocyte,SF10022,26
0,oligodendrocyte,SF10127,2
0,oligodendrocyte,SF11159,0
0,oligodendrocyte,SF11209,1
0,oligodendrocyte,SF11232,0
0,oligodendrocyte,SF11247,6
0,oligodendrocyte,SF11644,17
0,oligodendrocyte,SF11956,1
0,oligodendrocyte,SF11979,1
0,oligodendrocyte,SM006,1
0,oligodendrocyte,SM011,0
0,oligodendrocyte,SM012,2
0,oligodendrocyte,SM017,0
0,oligodendrocyte,SM018,16
0,oligodendrocyte,X154,12
0,oligodendrocyte,X192,21
0,oligodendrocyte,X194,27
0,oligodendrocyte,ndGBM-01,3
0,oligodendrocyte,ndGBM-02,4
0,oligodendrocyte,ndGBM-03,3
0,oligodendrocyte,ndGBM-04,0
0,oligodendrocyte,ndGBM-05,9
0,oligodendrocyte,ndGBM-06,0
0,oligodendrocyte,ndGBM-07,7
0,oligodendrocyte,ndGBM-08,1
0,oligodendrocyte,ndGBM-09,0
0,oligodendrocyte,ndGBM-11,3
0,oligodendrocyte,rGBM-01,1
0,oligodendrocyte,rGBM-02,0
0,oligodendrocyte,rGBM-03,7
0,oligodendrocyte,rGBM-04,4
1,excitatory_neuron,3182,0
1,excitatory_neuron,3282,0
1,excitatory_neuron,3295,0
1,excitatory_neuron,BT333,0
1,excitatory_neuron,BT346,0
1,excitatory_neuron,BT363,0
1,excitatory_neuron,BT364,0
1,excitatory_neuron,BT368,0
1,excitatory_neuron,BT389,0
1,excitatory_neuron,BT390,0
1,excitatory_neuron,BT397,0
1,excitatory_neuron,BT402,0
1,excitatory_neuron,BT407,0
1,excitatory_neuron,BT409,0
1,excitatory_neuron,C3L-02705,0
1,excitatory_neuron,C3L-03405,0
1,excitatory_neuron,C3L-03968,0
1,excitatory_neuron,C3N-00662,0
1,excitatory_neuron,C3N-01334,0
1,excitatory_neuron,C3N-01798,0
1,excitatory_neuron,C3N-01814,0
1,excitatory_neuron,C3N-01815,0
1,excitatory_neuron,C3N-01816,0
1,excitatory_neuron,C3N-02181,0
1,excitatory_neuron,C3N-02188,0
1,excitatory_neuron,C3N-02190,0
1,excitatory_neuron,C3N-02769,0
1,excitatory_neuron,C3N-02783,0
1,excitatory_neuron,C3N-02784,0
1,excitatory_neuron,C3N-03184,0
1,excitatory_neuron,C3N-03186,0
1,excitatory_neuron,C3N-03188,0
1,excitatory_neuron,E10,0
1,excitatory_neuron,E100,0
1,excitatory_neuron,G523,0
1,excitatory_neuron,G549,0
1,excitatory_neuron,G566,0
1,excitatory_neuron,G583,0
1,excitatory_neuron,G620,0
1,excitatory_neuron,G637,0
1,excitatory_neuron,G729,0
1,excitatory_neuron,G799,0
1,excitatory_neuron,G837,0
1,excitatory_neuron,G851,0
1,excitatory_neuron,G910,0
1,excitatory_neuron,G945,0
1,excitatory_neuron,G946,0
1,excitatory_neuron,G967,0
1,excitatory_neuron,G983,0
1,excitatory_neuron,G1003,0
1,excitatory_neuron,GSM4141788,0
1,excitatory_neuron,GSM4141789,0
1,excitatory_neuron,GSM4141790,0
1,excitatory_neuron,JK125,0
1,excitatory_neuron,JK134,0
1,excitatory_neuron,JK136,0
1,excitatory_neuron,JK142,0
1,excitatory_neuron,JK153,0
1,excitatory_neuron,JK156,0
1,excitatory_neuron,JK163,0
1,excitatory_neuron,LB3018T,0
1,excitatory_neuron,LB3579T,0
1,excitatory_neuron,LB3612T,0
1,excitatory_neuron,LB3667T,0
1,excitatory_neuron,LB3771T,0
1,excitatory_neuron,LB3851T,0
1,excitatory_neuron,LB3853T,0
1,excitatory_neuron,LB3854T,0
1,excitatory_neuron,LB3864T,0
1,excitatory_neuron,LB3865T,0
1,excitatory_neuron,LB3869T,0
1,excitatory_neuron,LB3871T,0
1,excitatory_neuron,LB3872T,0
1,excitatory_neuron,LB3914T,0
1,excitatory_neuron,LB3915T,0
1,excitatory_neuron,LB3931T,0
1,excitatory_neuron,LB3944T,0
1,excitatory_neuron,LB3963T,0
1,excitatory_neuron,LB4003T,0
1,excitatory_neuron,LB4006T,0
1,excitatory_neuron,LB4015T,0
1,excitatory_neuron,LB4024T,0
1,excitatory_neuron,LB4034T,0
1,excitatory_neuron,LB4059T,0
1,excitatory_neuron,LB4075T,0
1,excitatory_neuron,LB4101T,0
1,excitatory_neuron,LB4117T,0
1,excitatory_neuron,LB4180T,0
1,excitatory_neuron,MGH102,0
1,excitatory_neuron,MGH105,0
1,excitatory_neuron,MGH114,0
1,excitatory_neuron,MGH115,0
1,excitatory_neuron,MGH118,0
1,excitatory_neuron,MGH124,0
1,excitatory_neuron,MGH125,0
1,excitatory_neuron,MGH126,0
1,excitatory_neuron,ND4,0
1,excitatory_neuron,P234_JAK,0
1,excitatory_neuron,P294,0
1,excitatory_neuron,P317,0
1,excitatory_neuron,P322,0
1,excitatory_neuron,Patient_2,0
1,excitatory_neuron,Patient_4,0
1,excitatory_neuron,R2,0
1,excitatory_neuron,R3,0
1,excitatory_neuron,R5,0
1,excitatory_neuron,SF4297,0
1,excitatory_neuron,SF6996,0
1,excitatory_neuron,SF9259R,0
1,excitatory_neuron,SF9259S,0
1,excitatory_neuron,SF10022,0
1,excitatory_neuron,SF10127,0
1,excitatory_neuron,SF11159,0
1,excitatory_neuron,SF11209,0
1,excitatory_neuron,SF11232,0
1,excitatory_neuron,SF11247,0
1,excitatory_neuron,SF11644,0
1,excitatory_neuron,SF11956,0
1,excitatory_neuron,SF11979,0
1,excitatory_neuron,SM006,0
1,excitatory_neuron,SM011,0
1,excitatory_neuron,SM012,0
1,excitatory_neuron,SM017,0
1,excitatory_neuron,SM018,0
1,excitatory_neuron,X154,0
1,excitatory_neuron,X192,0
1,excitatory_neuron,X194,0
1,excitatory_neuron,ndGBM-01,0
1,excitatory_neuron,ndGBM-02,0
1,excitatory_neuron,ndGBM-03,0
1,excitatory_neuron,ndGBM-04,0
1,excitatory_neuron,ndGBM-05,0
1,excitatory_neuron,ndGBM-06,0
1,excitatory_neuron,ndGBM-07,0
1,excitatory_neuron,ndGBM-08,0
1,excitatory_neuron,ndGBM-09,0
1,excitatory_neuron,ndGBM-11,0
1,excitatory_neuron,rGBM-01,0
1,excitatory_neuron,rGBM-02,0
1,excitatory_neuron,rGBM-03,0
1,excitatory_neuron,rGBM-04,0
1,inhibitory_neuron,3182,0
1,inhibitory_neuron,3282,0
1,inhibitory_neuron,3295,0
1,inhibitory_neuron,BT333,0
1,inhibitory_neuron,BT346,0
1,inhibitory_neuron,BT363,0
1,inhibitory_neuron,BT364,0
1,inhibitory_neuron,BT368,0
1,inhibitory_neuron,BT389,0
1,inhibitory_neuron,BT390,0
1,inhibitory_neuron,BT397,0
1,inhibitory_neuron,BT402,0
1,inhibitory_neuron,BT407,0
1,inhibitory_neuron,BT409,0
1,inhibitory_neuron,C3L-02705,0
1,inhibitory_neuron,C3L-03405,0
1,inhibitory_neuron,C3L-03968,0
1,inhibitory_neuron,C3N-00662,0
1,inhibitory_neuron,C3N-01334,0
1,inhibitory_neuron,C3N-01798,0
1,inhibitory_neuron,C3N-01814,0
1,inhibitory_neuron,C3N-01815,0
1,inhibitory_neuron,C3N-01816,0
1,inhibitory_neuron,C3N-02181,0
1,inhibitory_neuron,C3N-02188,0
1,inhibitory_neuron,C3N-02190,0
1,inhibitory_neuron,C3N-02769,0
1,inhibitory_neuron,C3N-02783,0
1,inhibitory_neuron,C3N-02784,0
1,inhibitory_neuron,C3N-03184,0
1,inhibitory_neuron,C3N-03186,0
1,inhibitory_neuron,C3N-03188,0
1,inhibitory_neuron,E10,0
1,inhibitory_neuron,E100,0
1,inhibitory_neuron,G523,0
1,inhibitory_neuron,G549,0
1,inhibitory_neuron,G566,0
1,inhibitory_neuron,G583,0
1,inhibitory_neuron,G620,0
1,inhibitory_neuron,G637,0
1,inhibitory_neuron,G729,0
1,inhibitory_neuron,G799,0
1,inhibitory_neuron,G837,0
1,inhibitory_neuron,G851,0
1,inhibitory_neuron,G910,0
1,inhibitory_neuron,G945,0
1,inhibitory_neuron,G946,0
1,inhibitory_neuron,G967,0
1,inhibitory_neuron,G983,0
1,inhibitory_neuron,G1003,0
1,inhibitory_neuron,GSM4141788,0
1,inhibitory_neuron,GSM4141789,0
1,inhibitory_neuron,GSM4141790,0
1,inhibitory_neuron,JK125,0
1,inhibitory_neuron,JK134,0
1,inhibitory_neuron,JK136,0
1,inhibitory_neuron,JK142,0
1,inhibitory_neuron,JK153,0
1,inhibitory_neuron,JK156,0
1,inhibitory_neuron,JK163,0
1,inhibitory_neuron,LB3018T,0
1,inhibitory_neuron,LB3579T,0
1,inhibitory_neuron,LB3612T,0
1,inhibitory_neuron,LB3667T,0
1,inhibitory_neuron,LB3771T,0
1,inhibitory_neuron,LB3851T,0
1,inhibitory_neuron,LB3853T,0
1,inhibitory_neuron,LB3854T,0
1,inhibitory_neuron,LB3864T,0
1,inhibitory_neuron,LB3865T,0
1,inhibitory_neuron,LB3869T,0
1,inhibitory_neuron,LB3871T,0
1,inhibitory_neuron,LB3872T,0
1,inhibitory_neuron,LB3914T,0
1,inhibitory_neuron,LB3915T,0
1,inhibitory_neuron,LB3931T,0
1,inhibitory_neuron,LB3944T,0
1,inhibitory_neuron,LB3963T,0
1,inhibitory_neuron,LB4003T,0
1,inhibitory_neuron,LB4006T,0
1,inhibitory_neuron,LB4015T,0
1,inhibitory_neuron,LB4024T,0
1,inhibitory_neuron,LB4034T,0
1,inhibitory_neuron,LB4059T,0
1,inhibitory_neuron,LB4075T,0
1,inhibitory_neuron,LB4101T,0
1,inhibitory_neuron,LB4117T,0
1,inhibitory_neuron,LB4180T,0
1,inhibitory_neuron,MGH102,0
1,inhibitory_neuron,MGH105,0
1,inhibitory_neuron,MGH114,0
1,inhibitory_neuron,MGH115,0
1,inhibitory_neuron,MGH118,0
1,inhibitory_neuron,MGH124,0
1,inhibitory_neuron,MGH125,0
1,inhibitory_neuron,MGH126,0
1,inhibitory_neuron,ND4,0
1,inhibitory_neuron,P234_JAK,0
1,inhibitory_neuron,P294,0
1,inhibitory_neuron,P317,0
1,inhibitory_neuron,P322,0
1,inhibitory_neuron,Patient_2,0
1,inhibitory_neuron,Patient_4,0
1,inhibitory_neuron,R2,0
1,inhibitory_neuron,R3,0
1,inhibitory_neuron,R5,0
1,inhibitory_neuron,SF4297,0
1,inhibitory_neuron,SF6996,0
1,inhibitory_neuron,SF9259R,0
1,inhibitory_neuron,SF9259S,0
1,inhibitory_neuron,SF10022,0
1,inhibitory_neuron,SF10127,0
1,inhibitory_neuron,SF11159,0
1,inhibitory_neuron,SF11209,0
1,inhibitory_neuron,SF11232,0
1,inhibitory_neuron,SF11247,0
1,inhibitory_neuron,SF11644,0
1,inhibitory_neuron,SF11956,0
1,inhibitory_neuron,SF11979,0
1,inhibitory_neuron,SM006,0
1,inhibitory_neuron,SM011,0
1,inhibitory_neuron,SM012,0
1,inhibitory_neuron,SM017,0
1,inhibitory_neuron,SM018,0
1,inhibitory_neuron,X154,0
1,inhibitory_neuron,X192,0
1,inhibitory_neuron,X194,0
1,inhibitory_neuron,ndGBM-01,0
1,inhibitory_neuron,ndGBM-02,0
1,inhibitory_neuron,ndGBM-03,0
1,inhibitory_neuron,ndGBM-04,0
1,inhibitory_neuron,ndGBM-05,0
1,inhibitory_neuron,ndGBM-06,0
1,inhibitory_neuron,ndGBM-07,0
