source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
nerve_c5,immune_tam,FGF1,CD44,1.3764726,0.0,1.6163543,1.8976127154472708,1.4509445314449247,0.024561383,0.92091703,0.0584463858624115,0.0318130014253422,nerve,immune,immune-nerve,nerve_to_immune,nerve_c5,tam,0.5076,15.0,0.4523,False,0.221,21.0,0.6495,True,False
nerve_c9,immune_tam,FGF1,CD44,1.3752264,0.0,1.6116087,1.8936353058477668,1.4333637946488065,0.024489267,0.9208099,0.0584463858624115,0.0318827862369984,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,tam,0.4802,7.0,0.3212,True,0.221,21.0,0.6495,True,True
nerve_c10,immune_dendritic,PTN,NCL,1.3750592,0.0,1.8086641,0.3852104450179448,-0.1361573250212313,0.010582949,0.92491496,0.9570101645133502,0.031906061522246,nerve,immune,immune-nerve,nerve_to_immune,nerve_c10,dendritic,0.8274,7.0,0.1908,False,0.1168,23.0,0.7139,True,False
nerve_c5,immune_tam,LGALS3BP,ITGB1,1.3746544,0.0,1.6390824,1.3231756127997238,1.1820060020654544,0.022030722,0.92142403,0.0584463858624115,0.0319992553024325,nerve,immune,immune-nerve,nerve_to_immune,nerve_c5,tam,0.5076,15.0,0.4523,False,0.221,21.0,0.6495,True,False
nerve_c16,immune_tam,PKM,CD44,1.3740135,0.0,1.6069901,0.5716097281892041,0.6191333838599086,0.01745237,0.9207052,0.0698439701873567,0.0321159272228863,nerve,immune,immune-nerve,nerve_to_immune,nerve_c16,tam,0.2917,16.0,0.4833,True,0.221,21.0,0.6495,True,True
nerve_c18,immune_t_cell,MDK,NCL,1.3739884,0.0,1.7940298,1.1085102850821449,1.7674880328655431,0.05110709,0.9246324,0.0159339153553152,0.0321392836400437,nerve,immune,immune-nerve,nerve_to_immune,nerve_c18,t_cell,0.5575,4.0,0.2111,False,0.114,24.0,0.7175,True,False
nerve_c6,immune_t_cell,VIM,CD44,1.3739659,0.0,1.8877605,0.210872968831748,0.1412526797342814,0.018155683,0.9263878,0.3069316342723809,0.0321626520101745,nerve,immune,immune-nerve,nerve_to_immune,nerve_c6,t_cell,0.2036,24.0,0.6567,True,0.114,24.0,0.7175,True,True
nerve_c18,immune_tam,SPP1,ITGA5_ITGB1,1.6559296,0.001,1.2458589,0.4691398537223133,-0.2123984899208519,0.024933476,0.910902,1.0,0.0322796078384087,nerve,immune,immune-nerve,nerve_to_immune,nerve_c18,tam,0.5575,4.0,0.2111,False,0.221,21.0,0.6495,True,False
nerve_c15,immune_microglia,EDIL3,ITGAV,1.3734579,0.0,1.2930394,2.021909758222133,1.6258959486430382,0.017729985,0.91239893,0.0303996864305521,0.0322796078384087,nerve,immune,immune-nerve,nerve_to_immune,nerve_c15,microglia,0.2441,11.0,0.4778,True,0.0584,28.0,0.8514,True,True
nerve_c10,immune_nk_cell,CALM1,PTPRA,1.6337689,0.0,1.2454095,0.6099004115760125,0.6595628712999182,0.01678442,0.91088736,0.0816135933970231,0.0323498794195349,nerve,immune,immune-nerve,nerve_to_immune,nerve_c10,nk_cell,0.8274,7.0,0.1908,False,0.1807,21.0,0.6809,True,False
