source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,direction,nerve_cluster,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
nerve_c20,malignant,NRXN3,NLGN1,1.7239114,0.0,2.7668839,0.8006525901776604,0.8120709306799494,0.12449522,0.9298393,0.0296227648967986,0.0014442057953952,nerve_to_malignant,nerve_c20,0.7889,9,0.1802,False
nerve_c4,malignant,PTN,PTPRZ1,1.7236694,1.0,2.3007028,-0.4248918932799291,-0.2125497549774195,0.03577474,0.92357695,1.0,0.001474424250157,nerve_to_malignant,nerve_c4,0.1779,16,0.5438,True
malignant,nerve_c12,NCAM1,PTPRZ1,1.7209165,0.993,2.5967727,-0.0440718828191544,-0.6492221021610352,0.19534229,0.9277411,0.7529680582829816,0.0015151979138253,malignant_to_nerve,nerve_c12,0.4368,7,0.335,True
nerve_c17,malignant,SPP1,CD44,2.1747303,0.0,2.1316452,1.0231732376474876,1.7639513049146829,0.07446344,0.9208396,0.0456284777472478,0.0015151979138253,nerve_to_malignant,nerve_c17,0.712,4,0.1815,False
nerve_c0,malignant,IL1RAPL1,PTPRD,2.3786983,0.0,2.1217363,1.352317516171832,0.8113656908042681,0.11071784,0.9206696,0.0296227648967986,0.0015773916959868,nerve_to_malignant,nerve_c0,0.1812,15,0.5697,True
malignant,nerve_c10,AGRN,MUSK,0.0936205,0.0,0.007406938,0.1330082934507436,0.032285966290345,0.100100465,0.4067767,0.5373435542304176,0.0015954617136075,malignant_to_nerve,nerve_c10,0.8274,7,0.1908,False
nerve_c1,malignant,SPP1,CD44,2.16102,0.0,2.1162086,1.0127339948101637,1.7057271374518397,0.073924206,0.9205743,0.0482803159171034,0.0016408245958533,nerve_to_malignant,nerve_c1,0.1941,18,0.5886,True
nerve_c16,malignant,PTN,PTPRZ1,1.7023808,1.0,2.192454,-0.4404511728582503,-0.1539331027980404,0.03409153,0.92185867,1.0,0.0016622442614094,nerve_to_malignant,nerve_c16,0.2917,16,0.4833,True
malignant,nerve_c12,NLGN1,NRXN1,1.7008793,0.0,2.708329,0.4170148598023272,0.3552529734033853,0.20467061,0.92913836,0.0611580214938439,0.0016946317600348,malignant_to_nerve,nerve_c12,0.4368,7,0.335,True
nerve_c12,malignant,NRXN1,NLGN1,1.7008793,0.0,2.708329,0.4170148598023272,0.3552529734033853,0.20467061,0.92913836,0.0611580214938439,0.0016946317600348,nerve_to_malignant,nerve_c12,0.4368,7,0.335,True
nerve_c12,malignant,VCAN,EGFR,1.6985867,0.0,2.8484688,0.651871843436998,2.5740789260818744,0.38628986,0.9307813,0.0056707416218067,0.0017273287837612,nerve_to_malignant,nerve_c12,0.4368,7,0.335,True
malignant,nerve_c15,TIMP1,CD63,1.6943483,0.0,2.5858011,0.1909502173999186,1.1390369639054914,0.06982362,0.9275991,0.1018021115163393,0.0017492987161634,malignant_to_nerve,nerve_c15,0.2441,11,0.4778,True
malignant,nerve_neuron,NLGN1,NRXN3,1.6928842,0.0,2.6880028,0.7711823363832963,1.0070230050960542,0.120946,0.92889,0.0228844830745983,0.0018048248371858,malignant_to_nerve,nerve_neuron,0.5032,7,0.4667,False
nerve_neuron,malignant,NRXN3,NLGN1,1.6928842,0.0,2.6880028,0.7711823363832963,1.0070230050960542,0.120946,0.92889,0.0228844830745983,0.0018048248371858,nerve_to_malignant,nerve_neuron,0.5032,7,0.4667,False
nerve_c4,malignant,IL1RAPL1,PTPRS,2.309674,0.0,2.0857134,1.363592809471652,1.7769893645032664,0.10689378,0.920042,0.0063829941966877,0.0018160332012095,nerve_to_malignant,nerve_c4,0.1779,16,0.5438,True
nerve_c4,malignant,IL1RAPL1,PTPRD,2.3051436,0.0,2.0484538,1.2939235817435768,0.5827823123044245,0.10689378,0.9193765,0.0296227648967986,0.0018840047765838,nerve_to_malignant,nerve_c4,0.1779,16,0.5438,True
nerve_c3,malignant,IL1RAPL1,PTPRS,2.2711294,0.0,2.046613,1.3329937343316214,1.783181757399884,0.10488986,0.9193431,0.0081132038507614,0.0019069367088341,nerve_to_malignant,nerve_c3,0.1893,16,0.5434,True
nerve_c10,malignant,SPP1,CD44,2.0980837,0.0,2.0453475,0.9648141624061756,1.568806898231903,0.07144886,0.9193202,0.062173418182984,0.0019300059695092,nerve_to_malignant,nerve_c10,0.8274,7,0.1908,False
nerve_c15,malignant,SPP1,CD44,2.0880222,0.0,2.034019,0.9571525414360844,1.6202350733583266,0.07105313,0.919114,0.0654343207465277,0.0019532125335262,nerve_to_malignant,nerve_c15,0.2441,11,0.4778,True
malignant,nerve_c4,TIMP1,FGFR2,1.6734686,0.0,2.53734,1.5934328193512644,2.3262511678129947,0.08847641,0.9269612,0.0015116356591112,0.0019765563758021,malignant_to_nerve,nerve_c4,0.1779,16,0.5438,True
nerve_c3,malignant,IL1RAPL1,PTPRD,2.266599,0.0,2.010052,1.263324506603546,0.5889747052010421,0.10488986,0.91867226,0.0296227648967986,0.0020236555459613,nerve_to_malignant,nerve_c3,0.1893,16,0.5434,True
malignant,nerve_c13,NCAM1,NCAM2,1.6662738,0.0,2.4747071,0.6100213843099195,0.5806943261067312,0.07362324,0.92611057,0.075093703572961,0.0021195006136559,malignant_to_nerve,nerve_c13,0.3452,18,0.5887,True
nerve_c6,malignant,HLA-A,APLP2,1.6931036,0.0,1.9810431,0.4723086082573042,0.8944687511717915,0.09526026,0.9181276,0.0296227648967986,0.002143804699985,nerve_to_malignant,nerve_c6,0.2036,24,0.6567,True
nerve_c7,malignant,PTN,PTPRZ1,1.6649519,1.0,2.0021353,-0.4678074528321698,-0.1421152955895483,0.031132167,0.91852474,1.0,0.002143804699985,nerve_to_malignant,nerve_c7,0.17,15,0.5776,True
nerve_c17,malignant,GSTP1,EGFR,1.6647546,0.0,2.746503,0.4116525128932506,2.5136360486212337,0.08772794,0.92959774,0.0070874844173246,0.0021682458639106,nerve_to_malignant,nerve_c17,0.712,4,0.1815,False
nerve_c18,malignant,PSAP,LRP1,1.8248128,0.0,1.9722011,1.169064614275216,2.2572791231530496,0.09625853,0.9179593,0.022911200198788,0.0021682458639106,nerve_to_malignant,nerve_c18,0.5575,4,0.2111,False
nerve_c12,malignant,CNTN1,PTPRZ1,1.6626321,0.0,1.9903395,0.3992193398128889,1.4633204336022645,0.20328265,0.9183034,0.0296227648967986,0.0021928238214284,nerve_to_malignant,nerve_c12,0.4368,7,0.335,True
nerve_c2,malignant,SPP1,CD44,2.0328424,0.0,1.9718909,0.9151377645246735,1.5068257466270718,0.068882845,0.9179534,0.0756740198903117,0.0021928238214284,nerve_to_malignant,nerve_c2,0.4082,17,0.533,True
malignant,nerve_c7,PTN,PTPRS,1.6584029,0.0,2.2319472,0.2933945280934507,1.2823762824808258,0.08088812,0.9224993,0.0331845406470355,0.0022423913086379,malignant_to_nerve,nerve_c7,0.17,15,0.5776,True
nerve_c20,malignant,IL1RAPL1,PTPRS,2.1893554,0.0,1.9636599,1.2680768320546585,1.716627421721041,0.10063849,0.9177957,0.0118068792740797,0.0022673805306821,nerve_to_malignant,nerve_c20,0.7889,9,0.1802,False
nerve_neuron,malignant,PTN,PTPRZ1,1.6568451,1.0,1.9609135,-0.4737326969835212,-0.2105133409070727,0.030491194,0.9177429,1.0,0.0022925067049088,nerve_to_malignant,nerve_neuron,0.5032,7,0.4667,False
nerve_c5,malignant,SPP1,CD44,2.0099387,0.0,1.9461035,0.8976995623117591,1.4594587551595015,0.067982025,0.91745627,0.0792379111821639,0.0023431698095783,nerve_to_malignant,nerve_c5,0.5076,15,0.4523,False
malignant,nerve_c10,CXCL16,GRM7,0.08920659,0.997,0.0074717803,-0.0311726337470341,-0.0699962823514424,0.022570707,0.40782878,1.0,0.0023929804016876,malignant_to_nerve,nerve_c10,0.8274,7,0.1908,False
malignant,nerve_c4,NCAM1,FGFR2,1.6517012,0.0,2.4421535,1.5195648022523771,0.9624915180285964,0.08847641,0.9256562,0.0296227648967986,0.0023943804219836,malignant_to_nerve,nerve_c4,0.1779,16,0.5438,True
nerve_c20,malignant,IL1RAPL1,PTPRD,2.184825,0.0,1.9285809,1.198407604326583,0.5224203695221992,0.10063849,0.9171132,0.0296227648967986,0.0023943804219836,nerve_to_malignant,nerve_c20,0.7889,9,0.1802,False
nerve_c12,malignant,BCAN,EGFR,1.6491835,0.0,2.6995735,0.3352339126873307,2.060481138767732,0.4099216,0.92903167,0.007188075071963,0.0024461383414619,nerve_to_malignant,nerve_c12,0.4368,7,0.335,True
malignant,nerve_c6,PTN,NCL,1.6486728,0.0,2.1856642,0.091668344389904,1.0235091089680464,0.078009665,0.9217469,0.2028675415660664,0.0024722224786463,malignant_to_nerve,nerve_c6,0.2036,24,0.6567,True
malignant,nerve_c18,PTN,NCL,1.6460795,0.006,2.1733286,0.0887228742658172,1.0673653162665135,0.077569395,0.9215425,0.574325693556065,0.0024984428149972,malignant_to_nerve,nerve_c18,0.5575,4,0.2111,False
malignant,nerve_c4,PTN,PTPRS,1.643026,0.0,2.1588035,0.2750094700527816,1.0662995489491305,0.07823731,0.92129976,0.0444478710969088,0.0025779257307835,malignant_to_nerve,nerve_c4,0.1779,16,0.5438,True
malignant,nerve_c17,TIMP1,CD63,1.6393969,0.001,2.4582608,0.1511312949476372,1.3455259213186517,0.06637969,0.9258821,0.4930312527098522,0.0026046933718671,malignant_to_nerve,nerve_c17,0.712,4,0.1815,False
nerve_c0,malignant,NCAM1,PTPRA,1.6373311,0.0,1.9680644,0.6063455030148353,0.6946094317941548,0.076686986,0.9178802,0.0552680692385295,0.0026315976390567,nerve_to_malignant,nerve_c0,0.1812,15,0.5697,True
malignant,nerve_neuron,NCAM1,PTPRZ1,1.6372964,1.0,2.4099746,-0.1042478386342352,-0.282705178177681,0.18129039,0.9251985,0.8394386228507205,0.0026586385072694,malignant_to_nerve,nerve_neuron,0.5032,7,0.4667,False
nerve_c15,malignant,CNTN2,NRCAM,1.6365956,0.0,2.539034,1.7436141476798388,2.0780889622203675,0.087965906,0.9269838,0.0006742340073049,0.0026858159514224,nerve_to_malignant,nerve_c15,0.2441,11,0.4778,True
nerve_c1,malignant,GSTP1,EGFR,1.6365501,0.0,2.6614978,0.3841812150059981,2.1974544345294853,0.08501273,0.928562,0.0296227648967986,0.0027131299464329,nerve_to_malignant,nerve_c1,0.1941,18,0.5886,True
malignant,nerve_c15,PTN,NCL,1.6363064,0.0,2.12684,0.0776222979855566,1.057408188734524,0.07591014,0.9207573,0.2361145547813726,0.0027405804672179,malignant_to_nerve,nerve_c15,0.2441,11,0.4778,True
malignant,nerve_c20,PTN,PTPRZ1,1.634973,1.0,2.1204977,-0.4804521500935814,-0.3737142840566267,0.074912235,0.9206483,1.0,0.0027681674886947,malignant_to_nerve,nerve_c20,0.7889,9,0.1802,False
